page,index,Продукт,Старая цена,Новая цена,Процент скидки,Время проведения акции
45,18,"Сосиски ПАПА МОЖЕТ, Сочные (ОМПК), 450г",199.80,99.90,−50%,с 15 февраля - до 28 февраля
45,19,"Сосиски ПАПА МОЖЕТ, Сочные (ОМПК), 450г",199.80,99.90,−50%,с 15 февраля - до 28 февраля
45,20,"Наггетсы ЗОЛОТОЙ ПЕТУШОК, традиционные, 300г",199.80,99.90,−50%,с 15 февраля - до 28 февраля
45,21,"Наггетсы ЗОЛОТОЙ ПЕТУШОК, традиционные, 300г",199.80,99.90,−50%,с 15 февраля - до 28 февраля
45,22,"Сосиски ПАПА МОЖЕТ, Сочные (ОМПК), 450г",199.80,99.90,−50%,с 15 февраля - до 28 февраля
45,23,"Сосиски ПАПА МОЖЕТ, Сочные (ОМПК), 450г",199.80,99.90,−50%,с 15 февраля - до 28 февраля
45,24,"Сосиски ПАПА МОЖЕТ, Сочные (ОМПК), 450г",199.80,99.90,−50%,с 15 февраля - до 28 февраля
45,25,"Сосиски ПАПА МОЖЕТ, Сочные (ОМПК), 450г",199.80,99.90,−50%,с 15 февраля - до 28 февраля
45,26,"Наггетсы ЗОЛОТОЙ ПЕТУШОК, традиционные, 300г",199.80,99.90,−50%,с 15 февраля - до 28 февраля
45,27,"Наггетсы ЗОЛОТОЙ ПЕТУШОК, традиционные, 300г",199.80,99.90,−50%,с 15 февраля - до 28 февраля
45,28,"Наггетсы ЗОЛОТОЙ ПЕТУШОК, традиционные, 300г",199.80,99.90,−50%,с 15 февраля - до 28 февраля
46,21,"Какао натуральный ЗОЛОТОЙ ЯРЛЫК (красный Октябрь), 100г",199.99,99.99,−50%,с  9 февраля - до  8 марта
46,22,"Какао натуральный ЗОЛОТОЙ ЯРЛЫК (красный Октябрь), 100г",199.99,99.99,−50%,с  9 февраля - до  8 марта
54,10,"Сосиски МЯСНИЦКИЙ РЯД Домашние вареные охлажденные, 420г",219.98,109.99,−50%,с 15 февраля - до 28 февраля
54,14,"Сосиски МЯСНИЦКИЙ РЯД Домашние вареные охлажденные, 420г",219.98,109.99,−50%,с 15 февраля - до 28 февраля
54,15,"Сосиски МЯСНИЦКИЙ РЯД Домашние вареные охлажденные, 420г",219.98,109.99,−50%,с 15 февраля - до 28 февраля
54,16,"Сосиски МЯСНИЦКИЙ РЯД Домашние вареные охлажденные, 420г",219.98,109.99,−50%,с 15 февраля - до 28 февраля
55,33,"Шницель РОССИЙСКАЯ КОРОНА, с картофельным пюре, 300г",239.80,119.90,−50%,с 15 февраля - до 28 февраля
55,34,"Шницель РОССИЙСКАЯ КОРОНА, с картофельным пюре, 300г",239.80,119.90,−50%,с 15 февраля - до 28 февраля
55,35,"Шницель РОССИЙСКАЯ КОРОНА, с картофельным пюре, 300г",239.80,119.90,−50%,с 15 февраля - до 28 февраля
55,36,"Лазанья ЗОЛОТОЙ ПЕТУШОК, мясная, 370г",239.80,119.90,−50%,с 15 февраля - до 28 февраля
55,37,"Шницель РОССИЙСКАЯ КОРОНА, с картофельным пюре, 300г",239.80,119.90,−50%,с 15 февраля - до 28 февраля
55,38,"Лазанья ЗОЛОТОЙ ПЕТУШОК, мясная, 370г",239.80,119.90,−50%,с 15 февраля - до 28 февраля
62,33,"Колбаса ВЯЗАНКА Молочная (Стародворские колбасы), 500г",269.98,134.99,−50%,с 15 февраля - до 28 февраля
62,34,"Колбаса ВЯЗАНКА Молочная (Стародворские колбасы), 500г",269.98,134.99,−50%,с 15 февраля - до 28 февраля
62,35,"Колбаса ВЯЗАНКА Молочная (Стародворские колбасы), 500г",269.98,134.99,−50%,с 15 февраля - до 28 февраля
62,36,"Колбаса ВЯЗАНКА Молочная (Стародворские колбасы), 500г",269.98,134.99,−50%,с 15 февраля - до 28 февраля
62,37,"Колбаса ВЯЗАНКА Молочная (Стародворские колбасы), 500г",269.98,134.99,−50%,с 15 февраля - до 28 февраля
66,18,"Колбаса ДЕЛИКАЙЗЕР Три мяса вареная (Атяшево), 400г",279.98,139.99,−50%,с 15 февраля - до 28 февраля
66,19,"Колбаса ДЕЛИКАЙЗЕР Три мяса вареная (Атяшево), 400г",279.98,139.99,−50%,с 15 февраля - до 28 февраля
66,20,"Колбаса ДЕЛИКАЙЗЕР Три мяса вареная (Атяшево), 400г",279.98,139.99,−50%,с 15 февраля - до 28 февраля
66,21,"Колбаса ДЕЛИКАЙЗЕР Три мяса вареная (Атяшево), 400г",279.98,139.99,−50%,с 15 февраля - до 28 февраля
66,22,"Колбаса ДЕЛИКАЙЗЕР Три мяса вареная (Атяшево), 400г",279.98,139.99,−50%,с 15 февраля - до 28 февраля
72,11,"Ветчина ВЯЗАНКА, Столичная мини (Стародворские колбасы), 500г",319.99,159.99,−50%,с 15 февраля - до 28 февраля
72,14,"Ветчина ВЯЗАНКА, Столичная мини (Стародворские колбасы), 500г",322.49,159.99,−50%,с 15 февраля - до 28 февраля
73,2,"Пельмени СТАРОДВОРСКИЕ Сочные куриные, 900г",339.80,169.90,−50%,с 15 февраля - до 28 февраля
73,3,"Пельмени СТАРОДВОРСКИЕ Сочные куриные, 900г",339.80,169.90,−50%,с 15 февраля - до 28 февраля
73,4,"Пельмени СТАРОДВОРСКИЕ Сочные куриные, 900г",339.80,169.90,−50%,с 15 февраля - до 28 февраля
75,29,"Пельмени ГОРЯЧАЯ ШТУЧКА Бигбули с мясом, 900г",359.80,179.90,−50%,с 15 февраля - до 28 февраля
75,30,"Пельмени ГОРЯЧАЯ ШТУЧКА Бигбули с мясом, 900г",359.80,179.90,−50%,с 15 февраля - до 28 февраля
75,31,"Пельмени ГОРЯЧАЯ ШТУЧКА Бигбули с мясом, 900г",359.80,179.90,−50%,с 15 февраля - до 28 февраля
75,32,"Пельмени ГОРЯЧАЯ ШТУЧКА Бигбули с мясом, 900г",359.80,179.90,−50%,с 15 февраля - до 28 февраля
75,33,"Пельмени ГОРЯЧАЯ ШТУЧКА Бигбули с мясом, 900г",359.80,179.90,−50%,с 15 февраля - до 28 февраля
77,22,"Сосиски БАВАРУШКА Баварушки вареные (Стародворье), 600г",359.98,179.99,−50%,с 15 февраля - до 28 февраля
78,8,"Сосиски БАВАРУШКА Баварушки вареные (Стародворье), 600г",359.98,179.99,−50%,с 15 февраля - до 28 февраля
78,12,"Сосиски БАВАРУШКА Баварушки вареные (Стародворье), 600г",359.98,179.99,−50%,с 15 февраля - до 28 февраля
78,13,"Сосиски БАВАРУШКА Баварушки вареные (Стародворье), 600г",359.98,179.99,−50%,с 15 февраля - до 28 февраля
78,14,"Сосиски БАВАРУШКА Баварушки вареные (Стародворье), 600г",359.98,179.99,−50%,с 15 февраля - до 28 февраля
